Id Lon Lat Demand[kg] Demand[m^3*10^-3] Duration
D0 -73.934605 40.727101 0 0 00:00:00
C1 -73.9120219 40.8990621 448 4481 00:14:00
C4 -74.2687779 40.9215145 401 4011 00:19:00
C5 -73.8548976 40.8485397 341 3411 00:16:00
C7 -74.2327604 40.7260644 515 5151 00:16:00
C10 -73.5024754 40.7708096 352 3521 00:20:00
C13 -74.2692141 40.92751 550 5501 00:13:00
C14 -73.7889762 40.6931962 376 3761 00:13:00
C15 -73.9619209 40.5777334 314 3141 00:10:00
C17 -74.1856 40.6869742 392 3921 00:17:00
C20 -73.8532193 40.8492816 509 5091 00:11:00
C27 -74.2694503 40.9223694 535 5351 00:16:00
C32 -73.7050309 40.6436015 500 5001 00:14:00
C33 -74.1990473 40.7692991 380 3801 00:13:00
C34 -74.258411 40.8881502 423 4231 00:18:00
C36 -73.6420544 40.6222344 528 5281 00:18:00
C38 -73.9815745 40.6273203 493 4931 00:13:00
C46 -73.7924577 40.7107361 449 4491 00:19:00
C48 -73.5994733 40.8757213 563 5631 00:15:00
C52 -73.9849016 40.6176283 487 4871 00:13:00
C53 -74.2592828 40.888833 476 4761 00:14:00
C54 -74.0946032 40.7193896 488 4881 00:12:00
C60 -74.1524383 40.8372221 528 5281 00:14:00
C64 -73.7822609 40.7128719 567 5671 00:20:00
C65 -73.951653 40.5858227 395 3951 00:16:00
C70 -73.9586454 40.6092891 463 4631 00:12:00
C80 -74.1380179 40.8305323 433 4331 00:12:00
C82 -73.6010889 40.7458749 412 4121 00:12:00
C83 -73.8591519 40.8897661 590 5901 00:12:00
C88 -73.5011619 40.7857672 380 3801 00:18:00
C97 -73.6996591 40.6590113 469 4691 00:15:00
C105 -74.2588676 40.8884761 395 3951 00:19:00
C111 -74.2550816 40.8890819 480 4801 00:18:00
C119 -74.1679143 40.5771226 362 3621 00:15:00
C130 -73.7370615 40.6288374 347 3471 00:14:00
C131 -74.2567951 40.9364406 394 3941 00:16:00
C132 -74.149307 40.7271764 426 4261 00:20:00
C133 -73.7796385 40.6788198 495 4951 00:19:00
C137 -73.9566881 40.6092319 427 4271 00:13:00
C140 -73.7866318 40.8471008 357 3571 00:17:00
C142 -73.7402721 40.6758465 529 5291 00:18:00
C144 -73.8127975 40.6752172 578 5781 00:12:00
C145 -74.1581191 40.8217975 508 5081 00:15:00
C146 -73.7916539 40.7113653 430 4301 00:13:00
C149 -74.121566 40.608264 367 3671 00:12:00
C155 -73.619052 40.8746624 465 4651 00:12:00
