Id Lon Lat Demand[kg] Demand[m^3*10^-3] Duration
D0 121.3364 31.14895 0 0 00:00:00
C1 121.493767 31.26959 22 248 00:10:00
C2 121.418228 31.122234 37 408 00:08:00
C3 121.377808 31.261791 61 674 00:13:00
C4 121.365662 31.217476 45 500 00:09:00
C5 121.470833 31.243597 69 760 00:09:00
C6 121.437286 31.237457 54 596 00:07:00
C7 121.442009 31.169304 28 311 00:10:00
C8 121.488251 31.119783 31 342 00:12:00
C9 121.331841 31.128899 67 735 00:10:00
C10 121.463959 31.274456 27 303 00:07:00
C11 121.23391 31.013105 72 789 00:06:00
C12 121.508904 31.284151 25 279 00:08:00
C13 121.598709 31.082525 40 448 00:06:00
C14 121.396248 31.314903 56 619 00:11:00
C15 121.564888 31.180359 30 334 00:05:00
C16 121.289558 31.029552 25 277 00:06:00
C17 121.391357 31.165018 58 642 00:13:00
C18 121.443779 31.192801 29 325 00:08:00
C19 121.40699 31.349552 19 215 00:12:00
C20 121.312477 31.104897 49 542 00:13:00
C21 121.397858 31.122772 53 584 00:08:00
C22 121.272392 31.229673 70 772 00:13:00
C23 121.305695 31.216131 23 262 00:13:00
C24 121.553375 31.375591 47 515 00:12:00
C25 121.393417 31.204611 67 742 00:06:00
C26 121.256821 31.398146 37 413 00:09:00
C27 121.492111 31.261068 64 702 00:06:00
C28 121.227119 31.010717 35 386 00:13:00
C29 121.595695 31.198595 35 389 00:15:00
C30 121.456337 31.294453 45 494 00:10:00
C31 121.405411 31.063648 72 792 00:07:00
C32 121.468399 31.325336 29 317 00:08:00
C33 121.310532 31.25667 18 201 00:08:00
C34 121.230209 31.356218 45 497 00:15:00
C35 121.525307 31.238102 69 763 00:15:00
C36 121.356552 31.213131 66 728 00:13:00
C37 121.247238 31.235237 59 645 00:15:00
C38 121.559982 31.25869 64 700 00:13:00
C39 121.346603 31.193918 68 749 00:08:00
C40 121.395218 31.12084 51 566 00:14:00
C41 121.549347 31.126766 29 324 00:08:00
C42 121.267082 31.055967 62 682 00:07:00
C43 121.577698 31.315742 52 574 00:06:00
C44 121.315491 31.090921 20 219 00:05:00
C45 121.277313 31.318596 58 640 00:06:00
C46 121.416878 31.171013 36 398 00:06:00
C47 121.308586 31.0982 27 303 00:10:00
C48 121.477753 31.2215 35 384 00:13:00
C49 121.489632 31.391867 67 740 00:05:00
C50 121.344948 31.174522 32 351 00:09:00
C51 121.429688 31.239973 67 734 00:14:00
C52 121.335243 31.155132 25 278 00:12:00
C53 121.443916 31.266333 47 518 00:09:00
C54 121.470718 31.176931 28 308 00:14:00
C55 121.483276 31.257738 47 514 00:07:00
C56 121.24556 31.392607 64 710 00:07:00
C57 121.247505 31.349634 37 415 00:05:00
C58 121.452362 31.317539 58 638 00:11:00
C59 121.347511 31.170597 53 582 00:12:00
C60 121.248238 31.384653 52 579 00:15:00
C61 121.515411 31.131132 29 325 00:13:00
C62 121.491013 31.150564 51 567 00:07:00
C63 121.2817 31.312325 59 651 00:08:00
C64 121.462151 31.062349 47 516 00:10:00
C65 121.430641 31.229261 29 324 00:10:00
C66 121.240227 31.027557 28 311 00:07:00
C67 121.299644 31.331539 44 485 00:12:00
C68 121.287941 31.127893 50 547 00:10:00
C69 121.418938 31.043934 63 693 00:08:00
C70 121.215088 31.261417 65 712 00:13:00
C71 121.247551 31.029491 35 384 00:10:00
C72 121.532417 31.041718 28 313 00:10:00
C73 121.270302 31.233044 66 732 00:07:00
C74 121.526535 31.220253 58 641 00:14:00
C75 121.50473 31.26832 36 404 00:09:00
C76 121.420006 31.083437 36 400 00:10:00
C77 121.521301 31.16011 54 593 00:08:00
C78 121.396545 31.056458 34 380 00:08:00
C79 121.281715 31.058641 70 771 00:08:00
C80 121.369179 31.155254 21 239 00:14:00
C81 121.574585 31.160587 72 789 00:07:00
C82 121.363159 31.182768 38 424 00:08:00
C83 121.574951 31.114302 34 375 00:10:00
C84 121.412796 31.15069 71 782 00:05:00
C85 121.456909 31.079741 44 487 00:11:00
C86 121.257561 31.368347 35 391 00:09:00
C87 121.539757 31.287638 28 312 00:11:00
C88 121.248772 31.212414 68 744 00:11:00
C89 121.335602 31.116501 70 766 00:12:00
C90 121.424797 31.209454 56 613 00:10:00
C91 121.543015 31.039825 36 404 00:11:00
C92 121.53656 31.143171 72 795 00:11:00
C93 121.479141 31.262785 21 237 00:15:00
C94 121.500671 31.160614 20 222 00:12:00
C95 121.229294 31.013674 60 657 00:09:00
C96 121.430084 31.190983 51 561 00:11:00
C97 121.545776 31.299038 45 498 00:12:00
C98 121.391838 31.046093 40 438 00:05:00
C99 121.593964 31.074635 60 661 00:14:00
C100 121.459625 31.220764 29 325 00:07:00
C101 121.531761 31.260542 54 600 00:13:00
C102 121.54512 31.044601 37 407 00:12:00
C103 121.368591 31.359957 28 312 00:06:00
C104 121.427208 31.205444 72 794 00:10:00
C105 121.279877 31.083321 31 347 00:06:00
C106 121.515984 31.30197 53 590 00:06:00
C107 121.438705 31.262335 37 413 00:06:00
C108 121.413673 31.17695 36 397 00:05:00
C109 121.34581 31.176601 60 659 00:10:00
C110 121.345314 31.281803 51 568 00:14:00
C111 121.311249 31.203075 21 230 00:10:00
C112 121.460854 31.202854 32 351 00:13:00
C113 121.460854 31.202854 51 561 00:11:00
C114 121.395447 31.175018 57 624 00:10:00
C115 121.493202 31.345184 25 281 00:09:00
C116 121.312836 31.259813 43 473 00:10:00
C117 121.446136 31.305334 50 549 00:15:00
C118 121.420418 31.092434 40 443 00:12:00
C119 121.389557 31.292229 32 358 00:13:00
C120 121.438858 31.360687 57 632 00:13:00
C121 121.592918 31.022236 30 335 00:13:00
C122 121.371254 31.128832 59 646 00:09:00
C123 121.29174 31.134295 59 650 00:12:00
C124 121.516022 31.15229 20 229 00:09:00
C125 121.548767 31.208494 24 264 00:12:00
C126 121.361343 31.135242 30 337 00:06:00
C127 121.527367 31.127728 40 446 00:13:00
C128 121.220543 31.201609 38 418 00:12:00
C129 121.429001 31.09775 51 566 00:08:00
C130 121.361343 31.399342 43 479 00:12:00
C131 121.268349 31.006388 26 289 00:12:00
C132 121.299202 31.127768 60 657 00:10:00
C133 121.390907 31.06419 51 561 00:13:00
C134 121.323433 31.118103 31 341 00:14:00
C135 121.389557 31.292229 51 567 00:06:00
C136 121.431587 31.010828 66 724 00:10:00
C137 121.38176 31.14015 20 221 00:07:00
C138 121.439659 31.316988 26 293 00:05:00
C139 121.447914 31.336336 65 718 00:06:00
C140 121.389206 31.236412 49 540 00:07:00
C141 121.407387 31.242846 69 763 00:08:00
C142 121.285599 31.016367 23 257 00:08:00
C143 121.239891 31.372395 27 298 00:12:00
C144 121.597206 31.284744 38 421 00:11:00
C145 121.402596 31.210678 30 331 00:10:00
C146 121.400314 31.356726 50 557 00:13:00
C147 121.558197 31.355778 53 589 00:05:00
C148 121.413597 31.163029 58 644 00:14:00
C149 121.401932 31.080648 28 316 00:08:00
C150 121.562057 31.259542 58 639 00:14:00
C151 121.465584 31.231314 39 430 00:05:00
C152 121.204002 31.396906 18 206 00:09:00
C153 121.208687 31.054615 53 583 00:07:00
C154 121.469475 31.197912 31 345 00:09:00
