From To DistanceTotal[km] DistanceInside[km] DistanceOutside[km] Duration[s]
D0 D0 0 0 0 00:00:00
D0 C1 25.01 17.871 7.139 00:15:04
D0 C2 17.485 3.741 13.744 00:09:21
D0 C3 17.434 8.142 9.292 00:10:10
D0 C4 12.923 5.849 7.074 00:07:33
D0 C5 20.729 13.59 7.139 00:12:21
D0 C6 17.786 10.647 7.139 00:10:25
D0 C7 14.132 6.023 8.109 00:08:28
D0 C8 19.139 2.234 16.905 00:10:30
D0 C9 3.624 0 3.624 00:03:06
D0 C10 23.539 16.4 7.139 00:14:00
D0 C11 22.986 0 22.986 00:12:14
D0 C12 27.454 20.315 7.139 00:16:24
D0 C13 31.884 2.234 29.65 00:18:45
D0 C14 24.983 9.165 15.818 00:13:30
D0 C15 28.65 2.234 26.416 00:14:52
D0 C16 16.65 0 16.65 00:10:44
D0 C17 7.303 0 7.303 00:04:39
D0 C18 14.462 6.785 7.677 00:08:51
D0 C19 29.215 9.165 20.05 00:15:10
D0 C20 6.88 0 6.88 00:04:07
D0 C21 9.547 0 9.547 00:05:46
D0 C22 13.378 0 13.378 00:08:04
D0 C23 10.114 0 10.114 00:06:05
D0 C24 43.961 9.165 34.796 00:21:27
D0 C25 11.711 4.572 7.139 00:06:47
D0 C26 36.218 11.135 25.083 00:18:57
D0 C27 23.628 16.489 7.139 00:14:07
D0 C28 23.171 0 23.171 00:15:03
D0 C29 33.333 2.234 31.099 00:17:36
D0 C30 28.812 16.36 12.452 00:15:32
D0 C31 13.076 0 13.076 00:08:22
D0 C32 32.733 18.848 13.885 00:17:57
D0 C33 15.352 0 15.352 00:09:14
D0 C34 28.419 0 28.419 00:17:19
D0 C35 24.743 13.718 11.025 00:15:09
D0 C36 12.563 5.489 7.074 00:07:02
D0 C37 17.106 0 17.106 00:10:19
D0 C38 28.728 13.718 15.01 00:17:10
D0 C39 8.153 1.099 7.054 00:04:52
D0 C40 9.527 0 9.527 00:05:37
D0 C41 24.256 2.234 22.022 00:12:40
D0 C42 17.37 0 17.37 00:10:53
D0 C43 36.406 13.718 22.688 00:21:55
D0 C44 8.417 0 8.417 00:05:03
D0 C45 23.154 0 23.154 00:14:02
D0 C46 10.127 2.45 7.677 00:06:24
D0 C47 7.938 0 7.938 00:04:45
D0 C48 19.436 9.057 10.379 00:11:58
D0 C49 39.583 9.165 30.418 00:19:45
D0 C50 5.138 0 5.138 00:04:17
D0 C51 17.968 10.829 7.139 00:10:34
D0 C52 1.924 0 1.924 00:01:16
D0 C53 21.501 14.362 7.139 00:12:41
D0 C54 18.074 6.953 11.121 00:11:21
D0 C55 22.648 15.509 7.139 00:13:20
D0 C56 35.348 11.135 24.213 00:18:26
D0 C57 27.076 0 27.076 00:16:15
D0 C58 30.772 18.32 12.452 00:16:39
D0 C59 4.371 0 4.371 00:02:59
D0 C60 34.688 11.135 23.553 00:18:04
D0 C61 20.746 2.234 18.512 00:10:54
D0 C62 20.436 2.234 18.202 00:11:03
D0 C63 22.311 0 22.311 00:13:24
D0 C64 19.21 0 19.21 00:11:03
D0 C65 17.347 10.208 7.139 00:10:10
D0 C66 21.078 0 21.078 00:11:34
D0 C67 26.723 0 26.723 00:16:02
D0 C68 6.754 0 6.754 00:04:27
D0 C69 15.785 0 15.785 00:08:46
D0 C70 20.927 0 20.927 00:12:36
D0 C71 21.4 0 21.4 00:11:40
D0 C72 29.767 2.234 27.533 00:16:55
D0 C73 13.758 0 13.758 00:08:24
D0 C74 25.124 8.376 16.748 00:15:15
D0 C75 24.986 17.847 7.139 00:14:55
D0 C76 12.837 0 12.837 00:07:40
D0 C77 23.725 2.234 21.491 00:12:35
D0 C78 12.633 0 12.633 00:08:17
D0 C79 14.956 0 14.956 00:09:30
